,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,16.860363133497973,0.6097560975609756,0.6128941441441441,0.5365853658536586,0.532608695652174,0.45,0.45959595959595967,29,29,19,46,9,10,9,13,4,4,7,5
1,Consumer Goods,329.50987406212283,0.45528455284552843,0.4576248313090418,0.4146341463414634,0.4130952380952381,0.4,0.3939393939393939,33,42,25,23,10,13,11,7,5,6,6,3
2,Energy,169.93311409435427,0.4634146341463415,0.4719827586206897,0.5121951219512195,0.5203349282296651,0.5,0.4949494949494949,33,41,25,24,12,13,7,9,6,5,5,4
3,Financials,1.1338269271474166,0.5365853658536586,0.5307629204265791,0.6585365853658537,0.6630952380952381,0.6,0.5858585858585859,24,27,30,42,10,3,11,17,4,3,5,8
4,Health Care/Biotech,13.420903105281695,0.3902439024390244,0.3983805668016194,0.4878048780487805,0.47607655502392343,0.6,0.5833333333333333,27,45,30,21,14,13,8,6,8,4,4,4
5,Industrials,3.866599744116709,0.4715447154471545,0.48351648351648346,0.5609756097560976,0.5630952380952381,0.45,0.4292929292929293,28,40,25,30,13,11,7,10,7,7,4,2
6,Large Cap Blend,0.9251957120815335,0.4634146341463415,0.46895604395604396,0.5609756097560976,0.5595238095238095,0.35,0.35,25,38,28,32,13,10,8,10,4,7,6,3
7,Large Cap Growth,3.6654877531766874,0.4959349593495935,0.5,0.7073170731707317,0.7149758454106281,0.5,0.5,30,32,30,31,14,8,4,15,6,6,4,4
8,Large Cap Value,15.820402289162308,0.4959349593495935,0.5151891742612538,0.4878048780487805,0.47607655502392343,0.35,0.35,31,41,21,30,14,13,8,6,6,9,4,1
9,Mid Cap Blend,426.71031911293085,0.5528455284552846,0.5488466757123474,0.5609756097560976,0.5607142857142857,0.3,0.30000000000000004,30,30,25,38,11,9,9,12,3,7,7,3
10,Mid Cap Growth,386.6297171786576,0.6016260162601627,0.5996732026143792,0.5609756097560976,0.5607142857142857,0.3,0.30000000000000004,33,28,21,41,11,9,9,12,3,7,7,3
11,Mid Cap Value,11.954858422868183,0.5121951219512195,0.5059701492537313,0.6585365853658537,0.6352657004830917,0.5,0.49999999999999994,22,26,34,41,8,4,10,19,3,3,7,7
12,Real Estate,2.0242386956240814,0.5121951219512195,0.5081967213114754,0.43902439024390244,0.427536231884058,0.35,0.35,27,26,34,36,6,11,12,12,3,6,7,4
13,Small Cap Blend,7.030906003289032,0.4634146341463415,0.46637072908259347,0.4878048780487805,0.4940191387559808,0.4,0.3838383838383838,26,33,33,31,11,13,8,9,6,7,5,2
14,Small Cap Growth,6.636276426895971,0.5284552845528455,0.5244623655913978,0.5121951219512195,0.5095693779904307,0.3,0.30303030303030304,31,29,29,34,12,10,10,9,3,6,8,3
15,Small Cap Value,10.30387612039732,0.5772357723577236,0.5738127544097693,0.6341463414634146,0.6321428571428571,0.35,0.35,27,24,28,44,11,6,9,15,2,5,8,5
16,Technology,5.116681670231317,0.43089430894308944,0.42807112068965514,0.5365853658536586,0.538647342995169,0.55,0.5606060606060607,27,39,31,26,10,11,8,12,5,3,6,6
17,Telecom,3.06851195005149,0.4715447154471545,0.4718614718614718,0.4634146341463415,0.4730392156862745,0.5,0.5,24,32,33,34,10,8,14,9,5,5,5,5
18,Utilities,37.43806993290307,0.5284552845528455,0.5245901639344263,0.4878048780487805,0.5072463768115942,0.45,0.45,26,22,36,39,8,6,15,12,3,4,7,6
