,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,1470587.1656014665,0.5772357723577236,0.5419481981981982,0.6341463414634146,0.5875,0.65,0.5666666666666667,54,31,21,17,20,10,5,6,11,3,4,2
1,Consumer Goods,13715571.837212117,0.6504065040650406,0.5057211683227942,0.7317073170731707,0.5287878787878788,0.8,0.6,77,38,5,3,29,10,1,1,15,4,0,1
2,Energy,26478757.870243695,0.6097560975609756,0.5234553775743707,0.7073170731707317,0.5796703296703296,0.65,0.40625,68,39,9,7,26,10,2,3,13,4,3,0
3,Financials,35348994.52403534,0.5609756097560976,0.47110983981693366,0.7317073170731707,0.5086805555555556,0.9,0.75,65,43,11,4,29,8,3,1,16,2,0,2
4,Health Care/Biotech,50762749.9485813,0.6097560975609756,0.5203962703962703,0.6829268292682927,0.5701058201058201,0.7,0.5476190476190476,67,37,11,8,25,11,2,3,13,5,1,1
5,Industrials,4193727.8972478984,0.5609756097560976,0.4814189189189189,0.5853658536585366,0.4756410256410256,0.7,0.5476190476190476,62,42,12,7,23,14,3,1,13,5,1,1
6,Large Cap Blend,3538437082.9901824,0.6178861788617886,0.4782205746061167,0.7317073170731707,0.5177419354838709,0.9,0.6666666666666667,73,37,10,3,29,9,2,1,17,2,0,1
7,Large Cap Growth,108593278.71295656,0.6666666666666666,0.5287303058387396,0.7804878048780488,0.579861111111111,0.65,0.43333333333333335,76,33,8,6,30,7,2,2,13,5,2,0
8,Large Cap Value,183161648.95749205,0.6747967479674797,0.5603733815115929,0.7560975609756098,0.603030303030303,0.8,0.607843137254902,74,32,8,9,28,8,2,3,15,2,2,1
9,Mid Cap Blend,68059385.70487578,0.6097560975609756,0.5083333333333333,0.6829268292682927,0.5193548387096774,0.8,0.6666666666666667,68,35,13,7,26,8,5,2,14,3,1,2
10,Mid Cap Growth,2489286.6468341714,0.6666666666666666,0.5109649122807017,0.7317073170731707,0.5575757575757576,0.7,0.4375,78,34,7,4,28,9,2,2,14,4,2,0
11,Mid Cap Value,21439872.343908675,0.6341463414634146,0.5776874435411021,0.6585365853658537,0.6057692307692308,0.7,0.6428571428571428,61,24,21,17,21,7,7,6,11,3,3,3
12,Real Estate,18840647.740076598,0.6097560975609756,0.5054459817486017,0.6829268292682927,0.5560344827586207,0.7,0.5333333333333333,68,36,12,7,25,9,4,3,13,4,2,1
13,Small Cap Blend,53570411.93914519,0.5934959349593496,0.51177304964539,0.7317073170731707,0.5863636363636363,0.7,0.5476190476190476,64,39,11,9,27,8,3,3,13,5,1,1
14,Small Cap Growth,2096678.4502460659,0.6097560975609756,0.5238297872340425,0.7073170731707317,0.5121212121212122,0.7,0.4666666666666667,69,41,7,6,28,10,2,1,14,5,1,0
15,Small Cap Value,4848605.346434041,0.5772357723577236,0.510354609929078,0.6585365853658537,0.585978835978836,0.75,0.6309523809523809,60,36,16,11,22,9,5,5,13,4,1,2
16,Technology,12329211.453943862,0.7154471544715447,0.546188630490956,0.8048780487804879,0.5954861111111112,0.75,0.46875,83,31,4,5,31,7,1,2,15,4,1,0
17,Telecom,92526.9375984796,0.5609756097560976,0.5499058380414312,0.5853658536585366,0.5579710144927537,0.65,0.6212121212121212,50,40,14,19,18,12,5,6,10,6,1,3
18,Utilities,1758965.4119733488,0.5365853658536586,0.5228070175438597,0.5853658536585366,0.5519323671497585,0.6,0.6000000000000001,52,44,13,14,19,13,4,5,9,7,1,3
