,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,12.508193931309174,0.5772357723577236,0.5785472972972973,0.5853658536585366,0.5821256038647343,0.4,0.4040404040404041,27,31,21,44,10,9,8,14,4,5,7,4
1,Consumer Goods,329.50987406212283,0.45528455284552843,0.4576248313090418,0.4146341463414634,0.4130952380952381,0.4,0.3939393939393939,33,42,25,23,10,13,11,7,5,6,6,3
2,Energy,17.594931994226478,0.44715447154471544,0.4539331896551724,0.43902439024390244,0.44138755980861244,0.5,0.4949494949494949,30,40,28,25,9,13,10,9,6,5,5,4
3,Financials,0.8467969656053563,0.5365853658536586,0.5285753349740224,0.6097560975609756,0.6142857142857143,0.65,0.6414141414141414,23,26,31,43,9,4,12,16,5,3,4,8
4,Health Care/Biotech,24.132952372530326,0.3983739837398374,0.4093117408906882,0.43902439024390244,0.4342105263157895,0.55,0.5404040404040403,30,47,27,19,11,12,11,7,7,5,4,4
5,Industrials,3.866599744116709,0.4715447154471545,0.48351648351648346,0.5609756097560976,0.5630952380952381,0.45,0.4292929292929293,28,40,25,30,13,11,7,10,7,7,4,2
6,Large Cap Blend,0.8612909193937308,0.4796747967479675,0.48453465893399617,0.5609756097560976,0.5595238095238095,0.35,0.35,25,37,27,34,13,10,8,10,4,7,6,3
7,Large Cap Growth,1.3533364226350637,0.44715447154471544,0.4415584415584416,0.6829268292682927,0.6871980676328503,0.55,0.55,24,36,32,31,13,8,5,15,6,5,4,5
8,Large Cap Value,6.863742239998852,0.5365853658536586,0.5594031531531531,0.4878048780487805,0.4845238095238095,0.35,0.35,31,39,18,35,13,13,8,7,6,9,4,1
9,Mid Cap Blend,82.9194230460442,0.5609756097560976,0.5686567164179104,0.4878048780487805,0.488095238095238,0.4,0.39999999999999997,33,32,22,36,10,11,10,10,4,6,6,4
10,Mid Cap Growth,3.4826612490763105,0.5609756097560976,0.5596153846153846,0.6097560975609756,0.6095238095238096,0.4,0.39999999999999997,27,29,25,42,13,8,8,12,4,6,6,4
11,Mid Cap Value,25.618806418809047,0.5528455284552846,0.5561923399496785,0.43902439024390244,0.4392857142857143,0.35,0.3484848484848485,30,35,20,38,9,12,11,9,3,7,6,4
12,Real Estate,1.283386342512472,0.5203252032520326,0.5163934426229508,0.4878048780487805,0.4710144927536232,0.35,0.35,27,25,34,37,6,9,12,14,3,6,7,4
13,Small Cap Blend,4.185699371324441,0.5203252032520326,0.5227272727272727,0.4878048780487805,0.4904761904761905,0.3,0.3,28,31,28,36,12,13,8,8,4,8,6,2
14,Small Cap Growth,3.6792757860013254,0.5040650406504065,0.5,0.4878048780487805,0.48690476190476184,0.3,0.30303030303030304,29,32,29,33,11,11,10,9,3,6,8,3
15,Small Cap Value,19.48555274742379,0.5203252032520326,0.5239651416122004,0.4634146341463415,0.4677033492822966,0.3,0.3,28,33,26,36,10,13,9,9,4,8,6,2
16,Technology,5.560727223137048,0.4146341463414634,0.41244612068965514,0.5365853658536586,0.538647342995169,0.5,0.4949494949494949,27,41,31,24,10,11,8,12,6,5,5,4
17,Telecom,3.06851195005149,0.4715447154471545,0.4718614718614718,0.4634146341463415,0.4730392156862745,0.5,0.5,24,32,33,34,10,8,14,9,5,5,5,5
18,Utilities,30.464608883250914,0.3821138211382114,0.390625,0.4634146341463415,0.44730392156862736,0.7,0.7000000000000001,29,47,29,18,13,11,11,6,8,4,2,6
