,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,1546950.462490423,0.5853658536585366,0.545045045045045,0.6341463414634146,0.5705128205128205,0.6,0.4666666666666667,56,32,19,16,21,10,5,5,11,4,4,1
1,Consumer Goods,13715571.837212117,0.6504065040650406,0.5057211683227942,0.7317073170731707,0.5287878787878788,0.8,0.6,77,38,5,3,29,10,1,1,15,4,0,1
2,Energy,54437438.615799546,0.6504065040650406,0.535983137609154,0.6829268292682927,0.5701058201058201,0.7,0.4117647058823529,73,34,9,7,25,11,2,3,14,3,3,0
3,Financials,40530185.69332308,0.5853658536585366,0.4768913747424198,0.7317073170731707,0.5086805555555556,0.9,0.75,68,40,11,4,29,8,3,1,16,2,0,2
4,Health Care/Biotech,60122318.98707969,0.6097560975609756,0.5083333333333333,0.6585365853658537,0.5233516483516484,0.75,0.5666666666666667,68,36,12,7,25,11,3,2,14,4,1,1
5,Industrials,4193727.8972478984,0.5609756097560976,0.4814189189189189,0.5853658536585366,0.4756410256410256,0.7,0.5476190476190476,62,42,12,7,23,14,3,1,13,5,1,1
6,Large Cap Blend,11988419151.16377,0.6504065040650406,0.5011128775834659,0.7317073170731707,0.5575757575757576,0.85,0.6944444444444444,76,34,9,4,28,9,2,2,16,1,2,1
7,Large Cap Growth,804464305.9023045,0.6422764227642277,0.50031328320802,0.7317073170731707,0.5516129032258065,0.8,0.4444444444444444,74,33,11,5,28,8,3,2,16,2,2,0
8,Large Cap Value,669328699.3027344,0.6829268292682927,0.5263910969793322,0.8048780487804879,0.5946969696969697,0.8,0.607843137254902,79,32,7,5,31,6,2,2,15,2,2,1
9,Mid Cap Blend,139560672.5656957,0.6504065040650406,0.5201219512195122,0.7560975609756098,0.5642361111111112,0.8,0.607843137254902,74,34,9,6,29,7,3,2,15,2,2,1
10,Mid Cap Growth,50264618.674308784,0.6747967479674797,0.5407784986098239,0.7073170731707317,0.5488505747126436,0.6,0.42857142857142855,77,33,7,6,27,10,2,2,12,6,2,0
11,Mid Cap Value,130768762.93807703,0.6829268292682927,0.5425604358188627,0.7317073170731707,0.5854838709677419,0.75,0.6333333333333333,76,25,14,8,27,7,4,3,13,3,2,2
12,Real Estate,83946213.1023195,0.6504065040650406,0.555952380952381,0.7073170731707317,0.5977011494252873,0.75,0.65625,69,31,12,11,25,8,4,4,13,2,3,2
13,Small Cap Blend,131089668.90273055,0.6097560975609756,0.5001471886959082,0.7317073170731707,0.5486111111111112,0.8,0.59375,68,37,11,7,28,7,4,2,15,3,1,1
14,Small Cap Growth,25307419.2911278,0.6341463414634146,0.508536944362673,0.7317073170731707,0.5177419354838709,0.75,0.5666666666666667,74,39,6,4,29,9,2,1,14,4,1,1
15,Small Cap Value,28203168.716362882,0.6504065040650406,0.5073170731707317,0.7560975609756098,0.567741935483871,0.75,0.46875,76,36,7,4,29,8,2,2,15,4,1,0
16,Technology,13508491.287679564,0.7073170731707317,0.5440381558028616,0.7804878048780488,0.5838709677419355,0.75,0.46875,82,32,4,5,30,8,1,2,15,4,1,0
17,Telecom,92526.9375984796,0.5609756097560976,0.5499058380414312,0.5853658536585366,0.5579710144927537,0.65,0.6212121212121212,50,40,14,19,18,12,5,6,10,6,1,3
18,Utilities,2211256.5892391675,0.5365853658536586,0.5029850746268656,0.5853658536585366,0.5519323671497585,0.6,0.5416666666666667,55,44,13,11,19,13,4,5,10,6,2,2
