,Assetclass,MSE,one_month_acc,three_month_acc,six_month_acc
0,Commodities/Materials,16.86036313,0.61 ,0.54 ,0.45 
1,Consumer Goods,329.5098741,0.46 ,0.41 ,0.40 
2,Energy,169.9331141,0.46 ,0.51 ,0.50 
3,Financials,1.133826927,0.54 ,0.66 ,0.60 
4,Health Care/Biotech,13.42090311,0.39 ,0.49 ,0.60 
5,Industrials,3.866599744,0.47 ,0.56 ,0.45 
6,Large Cap Blend,0.925195712,0.46 ,0.56 ,0.35 
7,Large Cap Growth,3.665487753,0.50 ,0.71 ,0.50 
8,Large Cap Value,15.82040229,0.50 ,0.49 ,0.35 
9,Mid Cap Blend,426.7103191,0.55 ,0.56 ,0.30 
10,Mid Cap Growth,386.6297172,0.60 ,0.56 ,0.30 
11,Mid Cap Value,11.95485842,0.51 ,0.66 ,0.50 
12,Real Estate,2.024238696,0.51 ,0.44 ,0.35 
13,Small Cap Blend,7.030906003,0.46 ,0.49 ,0.40 
14,Small Cap Growth,6.636276427,0.53 ,0.51 ,0.30 
15,Small Cap Value,10.30387612,0.58 ,0.63 ,0.35 
16,Technology,5.11668167,0.43 ,0.54 ,0.55 
17,Telecom,3.06851195,0.47 ,0.46 ,0.50 
18,Utilities,37.43806993,0.53 ,0.49 ,0.45 
