,Assetclass,MSE,one_month_acc,three_month_acc,six_month_acc
0,Commodities/Materials,12.50819393,0.58 ,0.59 ,0.40 
1,Consumer Goods,329.5098741,0.46 ,0.41 ,0.40 
2,Energy,17.59493199,0.45 ,0.44 ,0.50 
3,Financials,0.846796966,0.54 ,0.61 ,0.65 
4,Health Care/Biotech,24.13295237,0.40 ,0.44 ,0.55 
5,Industrials,3.866599744,0.47 ,0.56 ,0.45 
6,Large Cap Blend,0.861290919,0.48 ,0.56 ,0.35 
7,Large Cap Growth,1.353336423,0.45 ,0.68 ,0.55 
8,Large Cap Value,6.86374224,0.54 ,0.49 ,0.35 
9,Mid Cap Blend,82.91942305,0.56 ,0.49 ,0.40 
10,Mid Cap Growth,3.482661249,0.56 ,0.61 ,0.40 
11,Mid Cap Value,25.61880642,0.55 ,0.44 ,0.35 
12,Real Estate,1.283386343,0.52 ,0.49 ,0.35 
13,Small Cap Blend,4.185699371,0.52 ,0.49 ,0.30 
14,Small Cap Growth,3.679275786,0.50 ,0.49 ,0.30 
15,Small Cap Value,19.48555275,0.52 ,0.46 ,0.30 
16,Technology,5.560727223,0.41 ,0.54 ,0.50 
17,Telecom,3.06851195,0.47 ,0.46 ,0.50 
18,Utilities,30.46460888,0.38 ,0.46 ,0.70 
