,Assetclass,MSE,one_month_acc,three_month_acc,six_month_acc
0,Commodities/Materials,1546950.462,0.59 ,0.63 ,0.60 
1,Consumer Goods,13715571.84,0.65 ,0.73 ,0.80 
2,Energy,54437438.62,0.65 ,0.68 ,0.70 
3,Financials,40530185.69,0.59 ,0.73 ,0.90 
4,Health Care/Biotech,60122318.99,0.61 ,0.66 ,0.75 
5,Industrials,4193727.897,0.56 ,0.59 ,0.70 
6,Large Cap Blend,11988419151,0.65 ,0.73 ,0.85 
7,Large Cap Growth,804464305.9,0.64 ,0.73 ,0.80 
8,Large Cap Value,669328699.3,0.68 ,0.80 ,0.80 
9,Mid Cap Blend,139560672.6,0.65 ,0.76 ,0.80 
10,Mid Cap Growth,50264618.67,0.67 ,0.71 ,0.60 
11,Mid Cap Value,130768762.9,0.68 ,0.73 ,0.75 
12,Real Estate,83946213.1,0.65 ,0.71 ,0.75 
13,Small Cap Blend,131089668.9,0.61 ,0.73 ,0.80 
14,Small Cap Growth,25307419.29,0.63 ,0.73 ,0.75 
15,Small Cap Value,28203168.72,0.65 ,0.76 ,0.75 
16,Technology,13508491.29,0.71 ,0.78 ,0.75 
17,Telecom,92526.9376,0.56 ,0.59 ,0.65 
18,Utilities,2211256.589,0.54 ,0.59 ,0.60 
