,Assetclass,MSE,one_month_acc,three_month_acc,six_month_acc
0,Commodities/Materials,6.529943744,0.48 ,0.47 ,0.58 
1,Consumer Goods,1.008386251,0.44 ,0.45 ,0.32 
2,Energy,30.11207073,0.41 ,0.56 ,0.35 
3,Financials,69668.26178,0.58 ,0.61 ,0.65 
4,Health Care/Biotech,9.530175544,0.37 ,0.66 ,0.60 
5,Industrials,19.8609352,0.48 ,0.56 ,0.44 
6,Large Cap Blend,1.096755175,0.50 ,0.56 ,0.30 
7,Large Cap Growth,2.172491964,0.45 ,0.71 ,0.50 
8,Large Cap Value,2.891439353,0.52 ,0.49 ,0.40 
9,Mid Cap Blend,7.848307267,0.59 ,0.51 ,0.45 
10,Mid Cap Growth,1.975420612,0.55 ,0.61 ,0.35 
11,Mid Cap Value,8.024684507,0.57 ,0.54 ,0.40 
12,Real Estate,1.254730202,0.50 ,0.68 ,0.40 
13,Small Cap Blend,2.516721097,0.53 ,0.49 ,0.35 
14,Small Cap Growth,1.139131093,0.49 ,0.54 ,0.25 
15,Small Cap Value,236.9265098,0.54 ,0.44 ,0.35 
16,Technology,207.8719312,0.46 ,0.59 ,0.50 
17,Telecom,0.670261331,0.59 ,0.68 ,0.70 
18,Utilities,0.959550563,0.49 ,0.59 ,0.35 
