,Assetclass,MSE,one_month_acc,three_month_acc,six_month_acc
0,Commodities/Materials,9847.805386,0.46 ,0.50 ,0.53 
1,Consumer Goods,3421.118465,0.48 ,0.61 ,0.58 
2,Energy,52101616.67,0.67 ,0.66 ,0.70 
3,Financials,1578975.974,0.62 ,0.66 ,0.70 
4,Health Care/Biotech,3936655.982,0.55 ,0.61 ,0.55 
5,Industrials,146.5922702,0.52 ,0.78 ,0.67 
6,Large Cap Blend,928133785.4,0.62 ,0.68 ,0.60 
7,Large Cap Growth,481127710.1,0.54 ,0.68 ,0.55 
8,Large Cap Value,746534777.5,0.53 ,0.63 ,0.50 
9,Mid Cap Blend,23847402.73,0.59 ,0.68 ,0.60 
10,Mid Cap Growth,103673784.2,0.44 ,0.56 ,0.65 
11,Mid Cap Value,27713652.74,0.54 ,0.63 ,0.65 
12,Real Estate,34823139.37,0.55 ,0.63 ,0.65 
13,Small Cap Blend,93114480.34,0.50 ,0.44 ,0.45 
14,Small Cap Growth,109312894.4,0.59 ,0.63 ,0.70 
15,Small Cap Value,12067281.18,0.56 ,0.63 ,0.60 
16,Technology,5554422.842,0.44 ,0.54 ,0.50 
17,Telecom,172.4722297,0.49 ,0.51 ,0.35 
18,Utilities,5931096.007,0.57 ,0.63 ,0.70 
