,Assetclass,MSE,one_month_acc,one_month_auc,three_month_acc,three_month_auc,six_month_acc,six_month_auc,one_month_TP,one_month_FP,one_month_FN,one_month_TN,three_month_TP,three_month_FP,three_month_FN,three_month_TN,six_month_TP,six_month_FP,six_month_FN,six_month_TN
0,Commodities/Materials,9847.80538563481,0.4608695652173913,0.45223325062034736,0.5,0.4916666666666667,0.5263157894736842,0.5333333333333333,37,37,25,16,13,12,7,6,6,6,3,4
1,Consumer Goods,3421.118465483492,0.4782608695652174,0.4514472455648927,0.6052631578947368,0.5568181818181819,0.5789473684210527,0.5611111111111111,47,44,16,8,19,12,3,4,9,7,1,2
2,Energy,52101616.66924433,0.6666666666666666,0.5193798449612403,0.6585365853658537,0.5233516483516484,0.7,0.4375,76,30,11,6,25,11,3,2,14,4,2,0
3,Financials,1578975.9740395509,0.6178861788617886,0.6070146368406517,0.6585365853658537,0.6482843137254903,0.7,0.6703296703296703,50,26,21,26,17,7,7,10,10,3,3,4
4,Health Care/Biotech,3936655.982140733,0.5528455284552846,0.48154761904761906,0.6097560975609756,0.5317460317460317,0.55,0.5,58,33,22,10,21,10,6,4,9,6,3,2
5,Industrials,146.59227016867737,0.5185185185185185,0.5258620689655172,0.7777777777777778,0.7922077922077922,0.6666666666666666,0.6666666666666667,16,13,13,12,8,1,3,6,4,1,2,2
6,Large Cap Blend,928133785.4149902,0.6178861788617886,0.5139880952380953,0.6829268292682927,0.5824175824175825,0.6,0.47619047619047616,68,34,13,8,24,9,4,4,11,5,3,1
7,Large Cap Growth,481127710.1390578,0.5365853658536586,0.4636363636363636,0.6829268292682927,0.5804597701149425,0.55,0.44047619047619047,57,36,21,9,24,8,5,4,10,5,4,1
8,Large Cap Value,746534777.5055115,0.5284552845528455,0.47254004576659037,0.6341463414634146,0.5762499999999999,0.5,0.41758241758241765,53,34,24,12,21,11,4,5,9,6,4,1
9,Mid Cap Blend,23847402.734189525,0.5934959349593496,0.47639860139860146,0.6829268292682927,0.5412087912087912,0.6,0.46153846153846156,70,41,9,3,26,11,2,2,12,7,1,0
10,Mid Cap Growth,103673784.22791962,0.43902439024390244,0.4036177851422259,0.5609756097560976,0.5269230769230769,0.65,0.6041666666666667,43,40,29,11,17,9,9,6,10,5,2,3
11,Mid Cap Value,27713652.739325266,0.5365853658536586,0.4904279279279279,0.6341463414634146,0.5846560846560847,0.65,0.598901098901099,52,34,23,14,20,8,7,6,10,4,3,3
12,Real Estate,34823139.37472941,0.5528455284552846,0.517429193899782,0.6341463414634146,0.6014492753623188,0.65,0.6041666666666667,55,41,14,13,20,12,3,6,10,5,2,3
13,Small Cap Blend,93114480.33876403,0.4959349593495935,0.4625,0.43902439024390244,0.43062200956937796,0.45,0.45000000000000007,46,35,27,15,12,13,10,6,6,7,4,3
14,Small Cap Growth,109312894.40448686,0.5934959349593496,0.5833333333333333,0.6341463414634146,0.6369047619047619,0.7,0.7070707070707071,45,28,22,28,15,10,5,11,7,4,2,7
15,Small Cap Value,12067281.180264523,0.5609756097560976,0.4905555555555555,0.6341463414634146,0.5282051282051282,0.6,0.5208333333333333,63,44,10,6,24,13,2,2,11,7,1,1
16,Technology,5554422.842359681,0.43902439024390244,0.4496567505720824,0.5365853658536586,0.5446859903381642,0.5,0.5164835164835165,32,25,44,22,11,7,12,11,6,3,7,4
17,Telecom,172.47222968587366,0.4878048780487805,0.4766531713900134,0.5121951219512195,0.4867149758454106,0.35,0.3125,14,20,43,46,5,7,13,16,1,6,7,6
18,Utilities,5931096.007013159,0.5691056910569106,0.5126984126984127,0.6341463414634146,0.5674603174603174,0.7,0.6428571428571428,56,31,22,14,21,9,6,5,11,3,3,3
