"ReportDate","AssetClass","Flow","FlowPct","AssetsEnd","PortfolioChangePct"
"2/1/2017 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",380.12676941,4.4676,8787.631717075,-1.1853
"2/1/2017 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",332.52679221,1.1479,28973.61306457,-1.1231
"2/1/2017 12:00:00 AM","Energy-North America-USA-North America-Equity",217.857885535,0.346,62136.008338635,-1.6441
"2/1/2017 12:00:00 AM","Financials-North America-USA-North America-Equity",999.104807235,1.4776,68011.82621228,-0.8896
"2/1/2017 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",399.074410195,1.0228,40317.77560091,2.3099
"2/1/2017 12:00:00 AM","Industrials-North America-USA-North America-Equity",-19.285298545,-0.1009,18779.43733926,-1.6112
"2/1/2017 12:00:00 AM","Infrastructure-North America-USA-North America-Equity",-0.021539635,-2.7774,0.738539145,-1.9903
"2/1/2017 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",4101.683425185,0.393,1039265.34629097,-0.8302
"2/1/2017 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-824.99732138,-0.2699,303343.877988905,-0.4808
"2/1/2017 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",503.343859005,0.144,345902.21906724,-1.1258
"2/1/2017 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",744.45321369,0.5906,125177.92837877,-1.2808
"2/1/2017 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",69.834374435,0.105,65992.76884728,-0.8185
"2/1/2017 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",217.70937542,0.2544,84701.12975129,-1.2648
"2/1/2017 12:00:00 AM","Real Estate-North America-USA-North America-Equity",-103.83011002,-0.1193,85452.034478085,-1.6635
"2/1/2017 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",1234.985786145,0.8442,145244.8336533,-1.5541
"2/1/2017 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",-190.91127892,-0.3381,55659.112299875,-1.0844
"2/1/2017 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",259.199683115,0.3922,65171.13223219,-1.7741
"2/1/2017 12:00:00 AM","Technology-North America-USA-North America-Equity",96.557997865,0.2243,42891.72675259,-0.5657
"2/1/2017 12:00:00 AM","Telecom-North America-USA-North America-Equity",-80.508964075,-3.6897,2070.3129758,-1.4268
"2/1/2017 12:00:00 AM","Utilities-North America-USA-North America-Equity",-291.728368985,-2.271,12533.81035578,-0.155
"1/25/2017 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",250.977995715,3.1371,8508.352995505,3.2144
"1/25/2017 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",-20.72531471,-0.0724,28966.42214027,1.3596
"1/25/2017 12:00:00 AM","Energy-North America-USA-North America-Equity",319.43226382,0.5179,62952.73592266,1.5542
"1/25/2017 12:00:00 AM","Financials-North America-USA-North America-Equity",-490.81171566,-0.7309,67612.42347526,1.4195
"1/25/2017 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",-594.99814531,-1.4825,39015.84680931,-1.3108
"1/25/2017 12:00:00 AM","Industrials-North America-USA-North America-Equity",219.529779795,1.1878,19106.523149905,2.1932
"1/25/2017 12:00:00 AM","Infrastructure-North America-USA-North America-Equity",0.506399435,188.3554,0.775514065,0.0973
"1/25/2017 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",-1341.19685428,-0.1299,1043146.94644622,1.1338
"1/25/2017 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-2407.52197887,-0.7937,305465.64862949,1.487
"1/25/2017 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",112.170832245,0.0325,348463.695456465,1.0558
"1/25/2017 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",589.02320753,0.4771,126048.820383575,1.5824
"1/25/2017 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",-224.143621935,-0.3432,66051.66291844,1.466
"1/25/2017 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",-24.71773402,-0.0296,84481.854610095,1.4905
"1/25/2017 12:00:00 AM","Real Estate-North America-USA-North America-Equity",-33.590406745,-0.0385,87002.98682694,-0.0449
"1/25/2017 12:00:00 AM","Small Cap Blend-North America-USA-North America-Equity",51.7439588,0.036,146043.21600868,1.8008
"1/25/2017 12:00:00 AM","Small Cap Growth-North America-USA-North America-Equity",485.697578435,0.8825,56462.094021365,1.7076
"1/25/2017 12:00:00 AM","Small Cap Value-North America-USA-North America-Equity",352.682745475,0.5471,66083.7309875,1.9713
"1/25/2017 12:00:00 AM","Technology-North America-USA-North America-Equity",758.345580625,1.8389,43038.49887194,2.5251
"1/25/2017 12:00:00 AM","Telecom-North America-USA-North America-Equity",-59.609413775,-2.6467,2181.95560736,-0.4705
"1/25/2017 12:00:00 AM","Utilities-North America-USA-North America-Equity",-206.593092455,-1.5704,12845.459486145,-0.7857
"1/18/2017 12:00:00 AM","Commodities/Materials-North America-USA-North America-Equity",-92.352798355,-1.1418,8000.21617529,0.0539
"1/18/2017 12:00:00 AM","Consumer Goods-North America-USA-North America-Equity",-664.60779246,-2.2893,28598.32495179,0.8026
"1/18/2017 12:00:00 AM","Energy-North America-USA-North America-Equity",305.49393985,0.4969,61673.76088234,-0.1767
"1/18/2017 12:00:00 AM","Financials-North America-USA-North America-Equity",-509.900628545,-0.7438,67150.304384725,-1.3195
"1/18/2017 12:00:00 AM","Health Care/Biotech-North America-USA-North America-Equity",-262.379700645,-0.6482,40134.238812815,-0.2124
"1/18/2017 12:00:00 AM","Industrials-North America-USA-North America-Equity",-337.98599962,-1.7869,18481.625723885,-0.5015
"1/18/2017 12:00:00 AM","Infrastructure-North America-USA-North America-Equity",0.00017441,0.0651,0.268853015,0.3583
"1/18/2017 12:00:00 AM","Large Cap Blend-North America-USA-North America-Equity",-319.04978269,-0.0308,1032022.80692116,-0.2107
"1/18/2017 12:00:00 AM","Large Cap Growth-North America-USA-North America-Equity",-572.99109151,-0.1898,301684.413580785,0.1242
"1/18/2017 12:00:00 AM","Large Cap Value-North America-USA-North America-Equity",568.04848652,0.165,343376.187150265,-0.4385
"1/18/2017 12:00:00 AM","Mid Cap Blend-North America-USA-North America-Equity",62.22041868,0.0503,123451.71586837,-0.2211
"1/18/2017 12:00:00 AM","Mid Cap Growth-North America-USA-North America-Equity",-51.079892725,-0.0783,65224.8437102,0.0536
"1/18/2017 12:00:00 AM","Mid Cap Value-North America-USA-North America-Equity",124.6142009,0.1495,83261.492840835,-0.2036
